Service Name,Port Number,Transport Protocol,Description,Assignee,Contact,Registration Date,Modification Date,Reference,Service Code,Unauthorized Use Reported,Assignment Notes
,4872-4875,,Unassigned,,,,,,,,
tritium-can,4876,tcp,Tritium CAN Bus Bridge Service,[James_Kennedy],[James_Kennedy],2011-02-15,,,,,
lmcs,4877,tcp,Lighting Management Control System,[Timothy_Parry],[Timothy_Parry],2011-02-15,,,,,
,4878,tcp,Reserved,,,,,,,,
wsdl-event,4879,tcp,WSDL Event Receiver,[Charles_F_Steele],[Charles_F_Steele],2011-02-15,,,,,
hislip,4880,tcp,IVI High-Speed LAN Instrument Protocol,[IVI_Foundation],[Larry_Ostheimer],,2021-05-06,,,,
,4881,tcp,Reserved,,,,,,,,
,4882,tcp,Reserved,,,,,,,,
wmlserver,4883,tcp,Meier-Phelps License Server,[William_Phelps],[William_Phelps],2010-03-22,,,,,
hivestor,4884,tcp,HiveStor Distributed File System,[Nicholas_Young],[Nicholas_Young],2008-07-10,,,,,
abbs,4885,tcp,ABBS,[Ryan_Rubley],[Ryan_Rubley],,,,,,
,4886-4887,,Unassigned,,,,,,,,
xcap-portal,4888,tcp,xcap code analysis portal public user access,[_88solutions_Corporation],[Manfred_Koethe],2018-06-06,,,,,
xcap-control,4889,tcp,xcap code analysis portal cluster control and administration,[_88solutions_Corporation],[Manfred_Koethe],2018-06-06,,,,,
,4890-4893,,Unassigned,,,,,,,,
lyskom,4894,tcp,LysKOM Protocol A,[Per_Cederqvist],[Per_Cederqvist],,,,,,
,4895-4898,,Unassigned,,,,,,,,
radmin-port,4899,tcp,RAdmin Port,[Dmitri_Znosko],[Dmitri_Znosko],2003-03,,,,,
hfcs,4900,tcp,HFSQL Client/Server Database Engine,[PC_SOFT],[Jerome_AERTS_2],2006-03-02,2014-02-02,,,,
flr-agent,4901,tcp,"FileLocator Remote Search Agent IANA assigned this well-formed service name as a replacement for ""flr_agent"".",[David_Vest],[David_Vest],2008-11-19,,,,,
magiccontrol,4902,tcp,magicCONROL RF and Data Interface,[Andreas_Spalenski],[Andreas_Spalenski],2008-11-24,,,,,
,4903-4911,,Unassigned,,,,,,,,
lutap,4912,tcp,Technicolor LUT Access Protocol,[Markus_Loeffler],[Markus_Loeffler],2009-02-17,,,,,
lutcp,4913,tcp,LUTher Control Protocol,[Markus_Loeffler],[Markus_Loeffler],2007-07-03,,,,,
bones,4914,tcp,Bones Remote Control,[Andreas_Foedrowitz],[Andreas_Foedrowitz],2008-06-18,,,,,
frcs,4915,tcp,Fibics Remote Control Service,[Ken_Lagarec],[Ken_Lagarec],2009-04-17,,,,,
,4916-4935,,Unassigned,,,,,,,,
an-signaling,4936,udp,Signal protocol port for autonomic networking,[Cisco_Systems_3],[Toerless_Eckert_2],2014-06-06,,,,,
,4937,tcp,Reserved,,,,,,,,
,4938-4939,,Unassigned,,,,,,,,
eq-office-4940,4940,tcp,Equitrac Office,,,,,,,,
eq-office-4941,4941,tcp,Equitrac Office,,,,,,,,
eq-office-4942,4942,tcp,Equitrac Office,[Tom_Haapanen_2],[Tom_Haapanen_2],2007-07-11,,,,,
,4943-4948,,Unassigned,,,,,,,,
munin,4949,tcp,Munin Graphing Framework,[Jimmy_Olsen],[Jimmy_Olsen],2010-12-24,,,,,
sybasesrvmon,4950,tcp,Sybase Server Monitor,[Chris_Irie],[Chris_Irie],2008-03-26,,,,,
pwgwims,4951,tcp,PWG WIMS,[Ira_McDonald],[Ira_McDonald],2005-12,,,,,
sagxtsds,4952,tcp,SAG Directory Server,[Michael_Chirila],[Michael_Chirila],2006-01,,,,,
dbsyncarbiter,4953,tcp,Synchronization Arbiter,[Dave_Neudoerffer_2],[Dave_Neudoerffer_2],2009-11-18,,,,,
,4954-4968,,Unassigned,,,,,,,Known UNAUTHORIZED USE: port 4967,
ccss-qmm,4969,tcp,CCSS QMessageMonitor,,,,,,,,
ccss-qsm,4970,tcp,CCSS QSystemMonitor,[David_Young],[David_Young],2006-01,,,,,
burp,4971,tcp,BackUp and Restore Program,[Marat_Khalili],[Marat_Khalili],2017-08-23,,,,,
,4972-4979,,Unassigned,,,,,,,,
ctxs-vpp,4980,udp,Citrix Virtual Path,[Citrix_Systems],[Rohith_Ramkumar],2015-04-17,,,,,
,4981-4982,,Unassigned,,,,,,,,
,4983,,Unassigned,,,,2005-12-22,,,,
webyast,4984,tcp,WebYast,[Federico_Lucifredi],[Federico_Lucifredi],2009-09-25,,,,,
gerhcs,4985,tcp,GER HC Standard,[Roger_Ward],[Roger_Ward],2009-09-25,,,,,
mrip,4986,tcp,Model Railway Interface Program,[Howard_Amos],[Howard_Amos],2006-04,,,,,
smar-se-port1,4987,tcp,SMAR Ethernet Port 1,,,,,,,,
smar-se-port2,4988,tcp,SMAR Ethernet Port 2,[Delcio_Prizon],[Delcio_Prizon],,,,,,
parallel,4989,tcp,Parallel for GAUSS (tm),[Matthew_Ford],[Matthew_Ford],2003-03,,,,,
busycal,4990,tcp,BusySync Calendar Synch. Protocol,[David_Riggle],[David_Riggle],2008-01-07,,,,,Defined TXT keys: Proprietary
vrt,4991,tcp,VITA Radio Transport,[Sam_Bretheim],[Sam_Bretheim],2009-01-08,,,,,
,4992-4998,,Unassigned,,,,,,,,
hfcs-manager,4999,tcp,HFSQL Client/Server Database Engine Manager,[PC_SOFT],[Jerome_AERTS_2],2006-03-02,2014-02-02,,,,
commplex-main,5000,tcp,,,,,,,,,
commplex-link,5001,tcp,,,,,,,,,
rfe,5002,tcp,radio free ethernet,,,,,,,,
fmpro-internal,5003,tcp,"FileMaker, Inc. - Proprietary transport",[Clay_Maeckel],[Clay_Maeckel],,,,,,
avt-profile-1,5004,tcp,RTP media data,,,,,[RFC3551][RFC4571],,,
avt-profile-2,5005,tcp,RTP control protocol,,,,,[RFC3551][RFC4571],,,
wsm-server,5006,tcp,wsm server,[Adam_Berk],[Adam_Berk],,,,,,
wsm-server-ssl,5007,tcp,wsm server ssl,[Adam_Berk],[Adam_Berk],,,,,,
synapsis-edge,5008,tcp,Synapsis EDGE,[Paul_Schilling],[Paul_Schilling],,,,,,
winfs,5009,tcp,Microsoft Windows Filesystem,[Simon_Skaria],[Simon_Skaria],2006-01,,,,,
telelpathstart,5010,tcp,TelepathStart,[Helmuth_Breitenfelln],[Helmuth_Breitenfelln],,,,,,
telelpathattack,5011,tcp,TelepathAttack,[Helmuth_Breitenfelln],[Helmuth_Breitenfelln],,,,,,
nsp,5012,tcp,NetOnTap Service,[Kim_Hancock],[Kim_Hancock],2007-10-24,,,,,
fmpro-v6,5013,tcp,"FileMaker, Inc. - Proprietary transport",[Alex_Chen],[Alex_Chen],2007-08-01,,,,,
,5014,tcp,Reserved,,,,,,,,
fmwp,5015,tcp,"FileMaker, Inc. - Web publishing",[Alex_Chen],[Alex_Chen],2009-11-25,,,,,
,5016-5019,,Unassigned,,,,,,,,
zenginkyo-1,5020,tcp,zenginkyo-1,[Masashi_Suzaki],[Masashi_Suzaki],,,,,,
zenginkyo-2,5021,tcp,zenginkyo-2,[Masashi_Suzaki],[Masashi_Suzaki],,,,,,
mice,5022,tcp,mice server,[Alan_Clifford],[Alan_Clifford],,,,,,
htuilsrv,5023,tcp,Htuil Server for PLD2,[Dennis_Reinhardt],[Dennis_Reinhardt],,,,,,
scpi-telnet,5024,tcp,SCPI-TELNET,[IVI_Foundation],[Larry_Ostheimer],,2021-05-06,,,,
scpi-raw,5025,tcp,SCPI-RAW,[IVI_Foundation],[Larry_Ostheimer],,2021-05-06,,,,
strexec-d,5026,tcp,Storix I/O daemon (data),[Storix_Inc],[David_Huffman],2005-08,,,,,
strexec-s,5027,tcp,Storix I/O daemon (stat),[Storix_Inc],[David_Huffman],2005-08,,,,,
qvr,5028,tcp,Quiqum Virtual Relais,[Philipp_Marcel_Albrecht],[Philipp_Marcel_Albrecht],2009-07-06,,,,,
infobright,5029,tcp,Infobright Database Server,[Mark_Windrim],[Mark_Windrim],2009-07-23,,,,,
,5030,tcp,Reserved,,,2006-12,2022-01-10,,,,Historic usage was surfpass. De-Assigned on 2022-01-10
,5031,tcp,Reserved,,,,,,,,
signacert-agent,5032,tcp,SignaCert Enterprise Trust Server Agent,[Harris_Corporation],[Daniel_R_Somerfield],2011-08-05,,,,,
jtnetd-server,5033,tcp,Janstor Secure Data,[Janstor_Technology],[Anthony_Johnson_2],2015-06-08,,,,,
jtnetd-status,5034,tcp,Janstor Status,[Janstor_Technology],[Anthony_Johnson_2],2015-06-08,,,,,
,5035-5041,,Unassigned,,,,,,,,
asnaacceler8db,5042,tcp,asnaacceler8db,[Walter_Goodwin],[Walter_Goodwin],,,,,,
swxadmin,5043,tcp,ShopWorX Administration,[Don_W_Fitzpatrick],[Don_W_Fitzpatrick],2005-08,,,,,
lxi-evntsvc,5044,tcp,LXI Event Service,[Nick_Barendt],[Nick_Barendt],2005-08,,,,,
osp,5045,tcp,Open Settlement Protocol,[Dmitry_Isakbayev],[Dmitry_Isakbayev],2010-03-05,,,,,
,5046,tcp,Reserved,,,,,,,,
,5047,tcp,Reserved,,,,,,,,
texai,5048,tcp,Texai Message Service,[Stephen_Reed_2],[Stephen_Reed_2],2010-06-17,,,,,
ivocalize,5049,tcp,iVocalize Web Conference,[Bryan_Vergato],[Bryan_Vergato],2006-05,,,,,
mmcc,5050,tcp,multimedia conference control tool,[Steve_Casner],[Steve_Casner],,,,,,
ita-agent,5051,tcp,ITA Agent,[Don_Merrell],[Don_Merrell],,,,,,
ita-manager,5052,tcp,ITA Manager,[Don_Merrell],[Don_Merrell],,,,,,
rlm,5053,tcp,RLM License Server,[Matt_Christiano_2],[Matt_Christiano_2],2008-07-28,,,,,
rlm-admin,5054,tcp,RLM administrative interface,[Matt_Christiano_2],[Matt_Christiano_2],2008-07-28,,,,,
unot,5055,tcp,UNOT,[Gordon_Mohr_2],[Gordon_Mohr_2],,,,,,
intecom-ps1,5056,tcp,Intecom Pointspan 1,[David_Meermans],[David_Meermans],,,,,,
intecom-ps2,5057,tcp,Intecom Pointspan 2,[David_Meermans],[David_Meermans],,,,,,
,5058,tcp,Reserved,,,,,,,,
sds,5059,tcp,SIP Directory Services,[Arthur_Wilton],[Arthur_Wilton],2006-03,,,,,
sip,5060,tcp,SIP,,,,2014-04-09,[RFC3263],,,
sips,5061,tcp,SIP-TLS,,,,2014-04-09,[RFC3263],,,
na-localise,5062,tcp,Localisation access,[Jean_Pierre_Garcia_2],[Jean_Pierre_Garcia_2],2009-10-28,,,,,
csrpc,5063,tcp,centrify secure RPC,[Paul_Moore],[Paul_Moore],2009-10-28,,,,,
ca-1,5064,tcp,Channel Access 1,[Jeffrey_Hill],[Jeffrey_Hill],2002-08,,,,,
ca-2,5065,tcp,Channel Access 2,[Jeffrey_Hill],[Jeffrey_Hill],2002-08,,,,,
stanag-5066,5066,tcp,STANAG-5066-SUBNET-INTF,[Donald_G_Kallgren],[Donald_G_Kallgren],,,,,,
authentx,5067,tcp,Authentx Service,[Alberto_Fernandez],[Alberto_Fernandez],2006-01,,,,,
bitforestsrv,5068,tcp,Bitforest Data Service,[Ville_Pekka_Vahteala],[Ville_Pekka_Vahteala],2008-06-05,,,,,
i-net-2000-npr,5069,tcp,I/Net 2000-NPR,[Chris_Megede],[Chris_Megede],,,,,,
vtsas,5070,tcp,VersaTrans Server Agent Service,[Christopher_Miller],[Christopher_Miller],2006-02,,,,,
powerschool,5071,tcp,PowerSchool,[Greg_Porter],[Greg_Porter],,,,,,
ayiya,5072,tcp,Anything In Anything,[Jeroen_Massar],[Jeroen_Massar],2005-08,,,,,
tag-pm,5073,tcp,Advantage Group Port Mgr,[James_Goddard],[James_Goddard],2005-08,,,,,
alesquery,5074,tcp,ALES Query,[Tim_Maloney],[Tim_Maloney],2005-08,,,,,
pvaccess,5075,tcp,Experimental Physics and Industrial Control System,[Matej_Sekoranja],[Matej_Sekoranja],2012-03-23,,,,,
,5076-5077,,Unassigned,,,,,,,,
pixelpusher,5078,udp,PixelPusher pixel data,[heroicrobotics.com],[Jasmine_Strong],2014-06-24,,,,,
,5079,tcp,Reserved,,,,,,,,
onscreen,5080,tcp,OnScreen Data Collection Service,[Christopher_Miller_2],[Christopher_Miller_2],2008-01-14,,,,,
sdl-ets,5081,tcp,SDL - Ent Trans Server,[Marc_Morin],[Marc_Morin],2002-04,,,,,
qcp,5082,tcp,Qpur Communication Protocol,[Joachim_Kluemper],[Joachim_Kluemper],2008-03-19,,,,,
qfp,5083,tcp,Qpur File Protocol,[Joachim_Kluemper],[Joachim_Kluemper],2008-03-19,,,,,
llrp,5084,tcp,EPCglobal Low-Level Reader Protocol,[Margaret_Cullen][Paul_Dietrich],[Margaret_Cullen][Paul_Dietrich],2006-11,,,,,Defined TXT keys: None. RFID reader Low Level Reader Protocol
encrypted-llrp,5085,tcp,EPCglobal Encrypted LLRP,[Margaret_Cullen],[Margaret_Cullen],2006-11,,,,,
aprigo-cs,5086,tcp,Aprigo Collection Service,[Ron_Zalkind],[Ron_Zalkind],2010-05-28,,,,,
biotic,5087,tcp,BIOTIC - Binary Internet of Things Interoperable Communication,[Waher_Data_AB],[Peter_Waher],2014-06-16,2015-11-25,,,,
,5088-5089,,Unassigned,,,,,,,,
car,5090,sctp,Candidate AR,,,,,,,,
cxtp,5091,sctp,Context Transfer Protocol,,,2005-07,,[RFC4065],,,
,5092,tcp,Reserved,,,,,,,,
sentinel-lm,5093,tcp,Sentinel LM,[Derick_Snyder],[Derick_Snyder],,,,,,
hart-ip,5094,tcp,HART-IP,[Wally_Pratt_Jr],[Wally_Pratt_Jr],2010-03-02,,,,,
,5095-5098,,Unassigned,,,,,,,,
sentlm-srv2srv,5099,tcp,SentLM Srv2Srv,[Derick_Snyder],[Derick_Snyder],,,,,,
socalia,5100,tcp,Socalia service mux,[Alberto_Raydan_2],[Alberto_Raydan_2],2005-08,,,,,
talarian-tcp,5101,tcp,Talarian_TCP,[Leo_Martins],[Leo_Martins],,,,,,
oms-nonsecure,5102,tcp,Oracle OMS non-secure,[Todd_Guay],[Todd_Guay],2005-08,,,,,
actifio-c2c,5103,tcp,Actifio C2C,[Ravi_Kollipara],[Ravi_Kollipara],2010-06-18,,,,,
,5104,tcp,Reserved,,,,,,,,
,5105,tcp,Reserved,,,,,,,,
actifioudsagent,5106,tcp,Actifio UDS Agent,[Actifio],[Madhav_Mutalik],2014-06-05,,,,,
actifioreplic,5107,tcp,Disk to Disk replication between Actifio Clusters,[Actifio],[Madhav_Mutalik],2015-10-23,,,,,
,5108-5110,,Unassigned,,,,,,,,
taep-as-svc,5111,tcp,TAEP AS service,[Liu_Changchun],[Liu_Changchun],2008-11-05,,,,,
pm-cmdsvr,5112,tcp,PeerMe Msg Cmd Service,[Marcos_Della],[Marcos_Della],2005-08,,,,,
,5113,,Unassigned,,,2010-11-09,,,,,
ev-services,5114,tcp,Enterprise Vault Services,[Richard_Jones_2],[Richard_Jones_2],2009-05-26,,,,,
autobuild,5115,tcp,Symantec Autobuild Service,[David_Warden],[David_Warden],2008-11-17,,,,,
,5116,tcp,Reserved,,,,,,,,
gradecam,5117,tcp,GradeCam Image Processing,[Robert_Porter],[Robert_Porter],2009-09-24,,,,,
,5118-5119,,Unassigned,,,,,,,,
barracuda-bbs,5120,tcp,Barracuda Backup Protocol,[Barracuda_Networks],[Andrew_Blyler],2013-04-05,,,,,
,5121-5132,,Unassigned,,,,,,,,
nbt-pc,5133,tcp,Policy Commander,[Emily_Harris],[Emily_Harris],2004-11,,,,,
ppactivation,5134,tcp,PP ActivationServer,[Ian_Bradley],[Ian_Bradley],2009-10-14,,,,,
erp-scale,5135,tcp,ERP-Scale,[Ian_Bradley],[Ian_Bradley],2009-10-14,,,,,Defined TXT keys: RFC=<RFC destination and status> Device=<Scale device and status>
,5136,tcp,Reserved,,,,,,,,
ctsd,5137,tcp,MyCTS server port,[Jilles_Oldenbeuving],[Jilles_Oldenbeuving],2002-06,,,,,
,5138-5144,,Unassigned,,,,,,,,
rmonitor-secure,5145,tcp,"RMONITOR SECURE IANA assigned this well-formed service name as a replacement for ""rmonitor_secure"".",[Kory_Hamzeh],[Kory_Hamzeh],,,,,,
social-alarm,5146,tcp,Social Alarm Service,[Shaun_Byrne],[Shaun_Byrne],2009-08-18,,,,,
,5147-5149,,Unassigned,,,,,,,,
atmp,5150,tcp,Ascend Tunnel Management Protocol,[Kory_Hamzeh],[Kory_Hamzeh],,,,,,
esri-sde,5151,tcp,"ESRI SDE Instance IANA assigned this well-formed service name as a replacement for ""esri_sde"".",[Peter_Aronson],[Peter_Aronson],,,,,Unauthorized Use Known on ports 5151 and 5152,
sde-discovery,5152,tcp,ESRI SDE Instance Discovery,[Peter_Aronson],[Peter_Aronson],,,,,Unauthorized Use Known on ports 5151 and 5152,
,5153,tcp,Reserved,,,2009-07-01,2018-04-19,,,,Historic usage was toruxserver. De-Assigned on 2018-04-19
bzflag,5154,tcp,BZFlag game server,[Tim_Riker],[Tim_Riker],2003-07,,,,,
asctrl-agent,5155,tcp,Oracle asControl Agent,[Todd_Guay],[Todd_Guay],2005-08,,,,,
rugameonline,5156,tcp,Russian Online Game,[Andrey_Mohov],[Andrey_Mohov],2010-08-17,,,,,
mediat,5157,tcp,Mediat Remote Object Exchange,[Oliver_Anan],[Oliver_Anan],2010-09-02,,,,,
,5158-5160,,Unassigned,,,,,,,,
snmpssh,5161,tcp,SNMP over SSH Transport Model,,,,,[RFC5592],,,
snmpssh-trap,5162,tcp,SNMP Notification over SSH Transport Model,,,,,[RFC5592],,Known Unauthorized Use on port 5162,
sbackup,5163,tcp,Shadow Backup,[Glenn_Allen],[Glenn_Allen],2009-08-05,,,,,
vpa,5164,tcp,Virtual Protocol Adapter,[Douglas_Goodall],[Douglas_Goodall],2009-08-05,,,,,
ife-icorp,5165,tcp,"ife_1corp IANA assigned this well-formed service name as a replacement for ""ife_icorp"".",[Paul_Annala],[Paul_Annala],,,,,,
winpcs,5166,tcp,WinPCS Service Connection,[Complan_Network_AS],[Complan_Network_AS],2006-02,,,,,
scte104,5167,tcp,SCTE104 Connection,[Thomas_Russell],[Thomas_Russell],2005-05,,,,,
scte30,5168,tcp,SCTE30 Connection,[Thomas_Russell],[Thomas_Russell],2005-05,,,,,
,5169-5171,,Unassigned,,,,,,,,
pcoip-mgmt,5172,tcp,PC over IP Endpoint Management,[Teradici_2],[Paul_Helter],2014-04-28,,,,,
,5173-5189,,Unassigned,,,,,,,,
aol,5190,tcp,America-Online,[Marty_Lyons],[Marty_Lyons],,,,,,
aol-1,5191,tcp,AmericaOnline1,[Bruce_Mackey],[Bruce_Mackey],,,,,,
aol-2,5192,tcp,AmericaOnline2,[Bruce_Mackey],[Bruce_Mackey],,,,,,
aol-3,5193,tcp,AmericaOnline3,[Bruce_Mackey],[Bruce_Mackey],,,,,,
cpscomm,5194,tcp,CipherPoint Config Service,[CipherPoint],[CipherPoint],2010-03-03,,,,,
ampl-lic,5195,tcp,The protocol is used by a license server and client programs to control use of program licenses that float to networked machines,[AMPL_Optimization],[David_M_Gay],2012-05-25,,,,,
ampl-tableproxy,5196,tcp,"The protocol is used by two programs that exchange ""table"" data used in the AMPL modeling language",[AMPL_Optimization],[David_M_Gay],2012-05-25,,,,,
tunstall-lwp,5197,tcp,Tunstall Lone worker device interface,[Tunstall_Healthcare_UK_Ltd],[Robert_Moore],2014-12-10,,,,,
,5198-5199,,Unassigned,,,,,,,,
targus-getdata,5200,tcp,TARGUS GetData,[John_Keaveney],[John_Keaveney],,,,,,
targus-getdata1,5201,tcp,TARGUS GetData 1,[John_Keaveney],[John_Keaveney],,,,,,
targus-getdata2,5202,tcp,TARGUS GetData 2,[John_Keaveney],[John_Keaveney],,,,,,
targus-getdata3,5203,tcp,TARGUS GetData 3,[John_Keaveney],[John_Keaveney],,,,,,
,5204-5208,,Unassigned,,,,,,,,
nomad,5209,tcp,Nomad Device Video Transfer,[Morega_System],[Ashraf_Tahir],2012-08-20,,,,,
,5210-5214,,Unassigned,,,,,,,,
noteza,5215,tcp,NOTEZA Data Safety Service,[CNS_a.s.],[Pavel_Mendl_2],2014-06-12,,,,,
,5216-5220,,Unassigned,,,,,,,,
3exmp,5221,tcp,3eTI Extensible Management Protocol for OAMP,[Bill_Rettig],[Bill_Rettig],2010-05-19,,,,,
xmpp-client,5222,tcp,XMPP Client Connection,,,,,[RFC6120],,,
hpvirtgrp,5223,tcp,HP Virtual Machine Group Management,[John_Williams],[John_Williams],2007-06,,,,,
hpvirtctrl,5224,tcp,HP Virtual Machine Console Operations,[John_Williams],[John_Williams],2007-06,,,,,
hp-server,5225,tcp,HP Server,[Brett_Green_2],[Brett_Green_2],,,,,,
hp-status,5226,tcp,HP Status,[Brett_Green_2],[Brett_Green_2],,,,,,
perfd,5227,tcp,HP System Performance Metric Service,[Chris_Bertin],[Chris_Bertin],2009-05-19,,,,,
hpvroom,5228,tcp,HP Virtual Room Service,[Scott_Levin],[Scott_Levin],2009-03-19,,,,,
jaxflow,5229,tcp,Netflow/IPFIX/sFlow Collector and Forwarder Management,[JaxMP],[Stephen_Hull],2014-08-15,,,,,
jaxflow-data,5230,tcp,JaxMP RealFlow application and protocol data,[JaxMP],[Stephen_Hull],2014-08-15,,,,,
crusecontrol,5231,tcp,Remote Control of Scan Software for Cruse Scanners,[Cruse_Spezialmaschinen_GmbH],[Christof_J._Reetz_2],2014-08-15,,,,,
csedaemon,5232,tcp,Cruse Scanning System Service,[Christof_J_Reetz],[Christof_J_Reetz],2011-03-09,,,,,
enfs,5233,tcp,Etinnae Network File Service,[Chris_Peel],[Chris_Peel],2011-03-09,,,,,
eenet,5234,tcp,EEnet communications,[Helmut_Giritzer],[Helmut_Giritzer],2005-11,,,,,
galaxy-network,5235,tcp,Galaxy Network Service,[Michael_Andre_2],[Michael_Andre_2],2007-10-04,,,,,
padl2sim,5236,tcp,,,,,,,,,
mnet-discovery,5237,tcp,m-net discovery,[Andy_Crick],[Andy_Crick],2007-11-13,,,,,
,5238-5241,,Unassigned,,,,,,,,
attune,5242,tcp,ATTUne API,[Bellvedi_Ltd],[Sean_D_Sollé_2],2022-06-01,,,,,
xycstatus,5243,tcp,xyClient Status API and rendevous point,[Xycare_Ltd],[Luke_Bailey],2022-06-06,,,,,
,5244,,Unassigned,,,,,,,,
downtools,5245,tcp,DownTools Control Protocol,[Jarrod_Sayers],[Jarrod_Sayers],2009-04-07,,,,,
,5246,tcp,Reserved,,,,,,,,
,5247,tcp,Reserved,,,,,,,,
caacws,5248,tcp,CA Access Control Web Service,[Gabriel_Kalmar],[Gabriel_Kalmar],2008-03-06,,,,,
caaclang2,5249,tcp,CA AC Lang Service,[Gabriel_Kalmar],[Gabriel_Kalmar],2008-02-19,,,,,
soagateway,5250,tcp,soaGateway,[Greg_Bodine],[Greg_Bodine],2002-02,,,,,
caevms,5251,tcp,CA eTrust VM Service,[Kevin_Bond],[Kevin_Bond],2004-11,,,,,
movaz-ssc,5252,tcp,Movaz SSC,[Lou_Berger],[Lou_Berger],2004-11,,,,,
kpdp,5253,tcp,Kohler Power Device Protocol,[Bill_Gross],[Bill_Gross],2010-11-01,,,,,
logcabin,5254,tcp,LogCabin storage service,[Diego_Ongaro],[Diego_Ongaro],2015-04-14,,,,,
,5255-5263,,Unassigned,,,,,,,,
3com-njack-1,5264,tcp,3Com Network Jack Port 1,[Abhay_Rajaram],[Abhay_Rajaram],2003-03,,,,,
3com-njack-2,5265,tcp,3Com Network Jack Port 2,[Abhay_Rajaram],[Abhay_Rajaram],2003-03,,,,,
,5266-5268,,Unassigned,,,,,,,,
xmpp-server,5269,tcp,XMPP Server Connection,,,,,[RFC6120],,,
cartographerxmp,5270,tcp,Cartographer XMP,[Bobby_Krupczak_2],[Bobby_Krupczak_2],2008-04-03,2011-08-31,,,,
cuelink,5271,tcp,StageSoft CueLink messaging,[Todd_Pichler],[Todd_Pichler],2010-03-26,,,,,
pk,5272,tcp,PK,[Patrick_Kara],[Patrick_Kara],,,,,,
,5273-5279,,Unassigned,,,,,,,,
xmpp-bosh,5280,tcp,Bidirectional-streams Over Synchronous HTTP (BOSH),[Peter_Saint_Andre],[Peter_Saint_Andre],2009-11-25,,,,,
undo-lm,5281,tcp,Undo License Manager,[Undo_Ltd],[Edward_Moffett],2010-04-19,2019-01-25,,,,
transmit-port,5282,tcp,Marimba Transmitter Port,[Johan_Eriksson],[Johan_Eriksson],2002-04,,,,,
,5283-5297,,Unassigned,,,,,,,,
presence,5298,tcp,XMPP Link-Local Messaging,[Eric_St_Onge],[Eric_St_Onge],2008-01-14,,,,,Defined TXT keys: See http://www.xmpp.org/registrar/linklocal.html
nlg-data,5299,tcp,NLG Data Service,[Andy_Shellam],[Andy_Shellam],2008-02-19,,,,,
hacl-hb,5300,tcp,HA cluster heartbeat,[Eric_Soderberg_2][Edward_Yim],[Eric_Soderberg_2][Edward_Yim],,,,,,
hacl-gs,5301,tcp,HA cluster general services,[Eric_Soderberg_2][Edward_Yim],[Eric_Soderberg_2][Edward_Yim],,,,,,
hacl-cfg,5302,tcp,HA cluster configuration,[Eric_Soderberg_2][Edward_Yim],[Eric_Soderberg_2][Edward_Yim],,,,,,
hacl-probe,5303,tcp,HA cluster probing,[Eric_Soderberg_2][Edward_Yim],[Eric_Soderberg_2][Edward_Yim],,,,,,
hacl-local,5304,tcp,HA Cluster Commands,[Eric_Soderberg_2][Edward_Yim],[Eric_Soderberg_2][Edward_Yim],,,,,,
hacl-test,5305,tcp,HA Cluster Test,[Eric_Soderberg_2][Edward_Yim],[Eric_Soderberg_2][Edward_Yim],,,,,,
sun-mc-grp,5306,tcp,Sun MC Group,[Michael_DeMoney],[Michael_DeMoney],,,,,,
sco-aip,5307,tcp,SCO AIP,[Barrie_Cooper],[Barrie_Cooper],,,,,,
cfengine,5308,tcp,CFengine,[Mark_Burgess],[Mark_Burgess],,,,,,
jprinter,5309,tcp,J Printer,[Ken_Blackwell],[Ken_Blackwell],,,,,,
outlaws,5310,tcp,Outlaws,[Richard_Fife],[Richard_Fife],,,,,,
,5311,,Unassigned,,,2004-05-07,,,,,
permabit-cs,5312,tcp,Permabit Client-Server,[Jered_Floyd],[Jered_Floyd],2004-06,,,,,
rrdp,5313,tcp,Real-time & Reliable Data,[Ted_Hoshi],[Ted_Hoshi],2004-06,,,,,
opalis-rbt-ipc,5314,tcp,opalis-rbt-ipc,[Laurent_Domenech],[Laurent_Domenech],,,,,,
hacl-poll,5315,tcp,HA Cluster UDP Polling,[Hoa_Nguyen],[Hoa_Nguyen],,,,,,
hpbladems,5316,tcp,HPBladeSystem Monitor Service,[Alan_Minchew],[Alan_Minchew],2011-05-23,2011-05-16,,,,
hpdevms,5317,tcp,HP Device Monitor Service,[Alan_Minchew],[Alan_Minchew],2011-05-16,,,,,
pkix-cmc,5318,tcp,PKIX Certificate Management using CMS (CMC),[IESG],[IETF_Chair],,,[RFC6402],,,
,5319,,Unassigned,,,,,,,,
bsfserver-zn,5320,tcp,Webservices-based Zn interface of BSF,[Bert_Paul],[Bert_Paul],2008-05-01,,,,,
bsfsvr-zn-ssl,5321,tcp,Webservices-based Zn interface of BSF over SSL,[Bert_Paul],[Bert_Paul],2008-07-03,,,,,
,5322-5342,,Unassigned,,,,,,,,
kfserver,5343,tcp,Sculptor Database Server,[Keith_Ashman],[Keith_Ashman],2005-12,,,,,
xkotodrcp,5344,tcp,xkoto DRCP,[Jeff_Heisz],[Jeff_Heisz],2006-02,,,,,
,5345-5348,,Unassigned,,,,,,,,
stuns,5349,tcp,Session Traversal Utilities for NAT (STUN) port,[IESG],[IETF_Chair],,2019-03-28,[RFC8489],,,
,5350,tcp,Reserved,,,,,,,,
,5351,tcp,Reserved,,,,,,,,
